CMDLINE python EyeTracking.py
MEM 122.261719 1452278478.9789
MEM 122.261719 1452278479.0880
MEM 122.261719 1452278479.1983
MEM 122.261719 1452278479.3095
MEM 122.261719 1452278479.4256
MEM 122.261719 1452278479.5393
MEM 122.261719 1452278479.6619
MEM 122.261719 1452278479.7733
MEM 122.277344 1452278479.8831
MEM 122.316406 1452278479.9934
MEM 122.324219 1452278480.1044
MEM 122.359375 1452278480.2193
MEM 122.359375 1452278480.3291
MEM 122.359375 1452278480.4449
MEM 122.359375 1452278480.5559
MEM 122.359375 1452278480.6660
MEM 122.359375 1452278480.7757
MEM 122.359375 1452278480.8870
MEM 122.359375 1452278480.9992
MEM 122.359375 1452278481.1097
MEM 122.359375 1452278481.2207
MEM 122.359375 1452278481.3317
MEM 122.386719 1452278481.4443
MEM 122.386719 1452278481.5558
MEM 122.386719 1452278481.6661
MEM 122.972656 1452278481.7824
MEM 122.972656 1452278481.8973
MEM 122.988281 1452278482.0064
MEM 122.992188 1452278482.1159
MEM 123.023438 1452278482.2266
MEM 123.066406 1452278482.3372
MEM 123.066406 1452278482.4548
MEM 123.066406 1452278482.5652
MEM 123.066406 1452278482.6744
MEM 123.066406 1452278482.7855
MEM 123.066406 1452278482.8965
MEM 123.066406 1452278483.0061
MEM 123.066406 1452278483.1167
MEM 123.066406 1452278483.2281
MEM 123.066406 1452278483.3392
MEM 123.066406 1452278483.4489
MEM 123.066406 1452278483.5599
MEM 123.066406 1452278483.6704
MEM 123.066406 1452278483.7869
MEM 123.066406 1452278483.8975
MEM 123.945312 1452278484.0083
MEM 123.945312 1452278484.1180
MEM 123.957031 1452278484.2293
MEM 124.003906 1452278484.3458
MEM 124.773438 1452278484.4556
MEM 124.910156 1452278484.5694
MEM 124.910156 1452278484.6813
MEM 124.910156 1452278484.7912
MEM 124.910156 1452278484.9023
MEM 124.910156 1452278485.0180
MEM 124.910156 1452278485.1294
MEM 124.910156 1452278485.2452
MEM 124.910156 1452278485.3565
MEM 124.910156 1452278485.4667
MEM 124.910156 1452278485.5765
MEM 124.910156 1452278485.6877
MEM 124.910156 1452278485.7983
MEM 124.910156 1452278485.9089
MEM 124.910156 1452278486.0235
MEM 124.910156 1452278486.1349
MEM 124.910156 1452278486.2461
MEM 124.910156 1452278486.3560
MEM 124.910156 1452278486.4688
MEM 124.910156 1452278486.5838
MEM 124.910156 1452278486.6952
MEM 124.910156 1452278486.8053
MEM 124.910156 1452278486.9156
MEM 124.910156 1452278487.0297
MEM 124.910156 1452278487.1463
MEM 124.910156 1452278487.2561
MEM 124.910156 1452278487.3673
MEM 124.910156 1452278487.4782
MEM 124.910156 1452278487.5886
MEM 124.910156 1452278487.7014
MEM 124.910156 1452278487.8155
MEM 124.910156 1452278487.9259
MEM 124.910156 1452278488.0411
MEM 124.910156 1452278488.1571
MEM 124.910156 1452278488.2672
MEM 124.910156 1452278488.3780
MEM 124.910156 1452278488.4878
MEM 124.910156 1452278488.5996
MEM 124.910156 1452278488.7097
MEM 124.910156 1452278488.8218
MEM 124.910156 1452278488.9310
MEM 124.910156 1452278489.0405
MEM 124.910156 1452278489.1517
MEM 124.910156 1452278489.2618
MEM 124.910156 1452278489.3716
MEM 124.910156 1452278489.4821
MEM 124.910156 1452278489.5960
MEM 124.910156 1452278489.7156
MEM 124.910156 1452278489.8313
MEM 124.910156 1452278489.9478
MEM 124.910156 1452278490.0645
MEM 124.910156 1452278490.1818
MEM 124.910156 1452278490.2950
MEM 124.910156 1452278490.4116
MEM 124.910156 1452278490.5294
MEM 124.910156 1452278490.6456
MEM 124.910156 1452278490.7555
MEM 124.910156 1452278490.8662
MEM 124.910156 1452278490.9779
MEM 124.910156 1452278491.0929
MEM 124.910156 1452278491.2022
MEM 124.910156 1452278491.3127
MEM 124.910156 1452278491.4220
MEM 124.910156 1452278491.5320
MEM 124.910156 1452278491.6433
MEM 124.910156 1452278491.7537
MEM 124.910156 1452278491.8643
MEM 124.910156 1452278491.9795
MEM 124.910156 1452278492.0895
MEM 124.910156 1452278492.1995
MEM 125.753906 1452278492.3111
MEM 125.753906 1452278492.4212
MEM 125.753906 1452278492.5361
MEM 126.046875 1452278492.6464
MEM 126.046875 1452278492.7570
MEM 126.632812 1452278492.8671
MEM 126.632812 1452278492.9784
MEM 126.632812 1452278493.0888
MEM 126.632812 1452278493.1985
MEM 126.632812 1452278493.3091
MEM 126.632812 1452278493.4189
MEM 126.632812 1452278493.5292
MEM 126.632812 1452278493.6430
MEM 126.632812 1452278493.7529
