CMDLINE python EyeTracking.py
MEM 7.375000 1452278310.8078
MEM 21.820312 1452278310.9188
MEM 58.296875 1452278311.0300
MEM 60.894531 1452278311.1394
MEM 66.746094 1452278311.2486
MEM 66.894531 1452278311.3578
MEM 66.894531 1452278311.4669
MEM 66.894531 1452278311.5759
MEM 93.332031 1452278311.6933
MEM 112.207031 1452278311.8069
MEM 115.699219 1452278311.9346
MEM 115.699219 1452278312.0481
MEM 115.699219 1452278312.1595
MEM 115.699219 1452278312.2706
MEM 115.699219 1452278312.3808
MEM 115.699219 1452278312.4920
MEM 115.699219 1452278312.6030
MEM 115.699219 1452278312.7132
MEM 115.699219 1452278312.8235
MEM 115.699219 1452278312.9333
MEM 115.699219 1452278313.0455
MEM 115.699219 1452278313.1602
MEM 115.699219 1452278313.2728
MEM 115.699219 1452278313.3893
MEM 115.699219 1452278313.5000
MEM 115.699219 1452278313.6104
MEM 115.699219 1452278313.7207
MEM 115.699219 1452278313.8321
MEM 115.699219 1452278313.9425
MEM 115.699219 1452278314.0528
MEM 115.699219 1452278314.1662
MEM 115.699219 1452278314.2832
MEM 115.699219 1452278314.3947
MEM 115.699219 1452278314.5073
MEM 115.699219 1452278314.6170
MEM 115.699219 1452278314.7281
MEM 115.699219 1452278314.8382
MEM 115.699219 1452278314.9479
MEM 115.699219 1452278315.0580
MEM 115.699219 1452278315.1682
MEM 115.699219 1452278315.2850
MEM 115.699219 1452278315.3962
MEM 115.699219 1452278315.5069
MEM 115.699219 1452278315.6171
MEM 115.699219 1452278315.7272
MEM 115.699219 1452278315.8427
MEM 115.699219 1452278315.9534
MEM 115.699219 1452278316.0633
MEM 115.699219 1452278316.1735
MEM 115.699219 1452278316.2910
MEM 115.699219 1452278316.4046
MEM 115.699219 1452278316.5147
MEM 115.699219 1452278316.6257
MEM 115.699219 1452278316.7405
MEM 115.699219 1452278316.8508
MEM 115.699219 1452278316.9615
MEM 115.699219 1452278317.0785
MEM 115.699219 1452278317.1884
MEM 115.699219 1452278317.2987
MEM 115.699219 1452278317.4082
MEM 115.699219 1452278317.5194
MEM 115.699219 1452278317.6297
MEM 115.699219 1452278317.7441
MEM 115.699219 1452278317.8550
MEM 115.699219 1452278317.9652
MEM 115.699219 1452278318.0762
MEM 115.699219 1452278318.1869
MEM 115.699219 1452278318.2981
MEM 115.699219 1452278318.4081
MEM 115.699219 1452278318.5181
MEM 115.699219 1452278318.6330
MEM 115.699219 1452278318.7439
MEM 115.699219 1452278318.8538
MEM 115.699219 1452278318.9651
MEM 115.699219 1452278319.0763
MEM 115.699219 1452278319.1855
MEM 115.699219 1452278319.3013
MEM 115.699219 1452278319.4123
MEM 115.699219 1452278319.5227
MEM 115.699219 1452278319.6353
MEM 115.699219 1452278319.7463
MEM 115.699219 1452278319.8586
MEM 115.699219 1452278319.9683
MEM 115.699219 1452278320.0790
MEM 115.699219 1452278320.1894
MEM 115.699219 1452278320.3009
MEM 115.699219 1452278320.4115
MEM 115.699219 1452278320.5224
MEM 115.699219 1452278320.6323
MEM 115.699219 1452278320.7437
MEM 115.699219 1452278320.8570
MEM 115.699219 1452278320.9668
MEM 115.699219 1452278321.0773
MEM 115.699219 1452278321.1876
MEM 115.699219 1452278321.3060
MEM 115.699219 1452278321.4182
MEM 115.699219 1452278321.5279
MEM 115.699219 1452278321.6395
MEM 115.699219 1452278321.7498
MEM 115.699219 1452278321.8643
MEM 115.699219 1452278321.9753
MEM 115.699219 1452278322.0856
MEM 115.699219 1452278322.1962
MEM 115.699219 1452278322.3066
MEM 115.699219 1452278322.4169
MEM 115.699219 1452278322.5268
MEM 115.699219 1452278322.6375
MEM 115.699219 1452278322.7476
MEM 115.699219 1452278322.8579
MEM 115.699219 1452278322.9688
MEM 115.699219 1452278323.0802
